	shannon	simpson	chao1	PD_whole_tree
SRR040950	3.2788428613	0.8193905	200.12	8.48081
SRR040951	7.79984553854	0.9899175	644.32183908	15.47112
SRR040952	8.19196402667	0.9847995	753.679104478	20.59638
SRR040953	8.07278482011	0.9933355	912.337837838	18.94352
SRR040954	8.38269981017	0.99457	799.0	21.47757
SRR040955	8.47519842416	0.995108	899.924528302	23.5339
SRR040958	5.59134947862	0.9140615	294.068181818	8.67244
SRR040959	5.29740042302	0.9396605	348.230769231	9.49041
SRR040960	7.49637252031	0.983914	801.5	17.88112
SRR040961	3.16140185695	0.82195	124.0	5.12111
SRR040963	8.31813513403	0.9949185	810.270588235	21.51028
SRR040964	7.26458988139	0.983544	635.613333333	13.98962
SRR040965	8.25436122621	0.9936055	847.375	23.16862
SRR040966	7.56845807883	0.991513	520.56	12.45493
SRR040968	7.52369562303	0.989001	756.967741935	18.83052
SRR040969	8.25916505029	0.9915155	974.259541985	22.14542
SRR040970	7.98097520908	0.986236	818.1	19.26674
SRR040971	7.89998588653	0.9924145	689.247058824	16.32456
SRR040972	5.57602255062	0.934141	413.818181818	11.02996
SRR040973	7.23701497089	0.983329	729.229508197	17.40764
SRR040974	5.23470774197	0.8287305	578.817073171	14.48223
SRR040975	9.02156578746	0.996902	1432.90441176	32.06921
SRR040976	8.27192745114	0.993459	1080.92920354	28.88269
SRR040977	8.38903154137	0.994252	885.7109375	20.8982
SRR040978	7.57759121916	0.986782	781.585365854	17.86992
SRR040979	8.308518311	0.993321	1061.05217391	24.25217
SRR040980	5.42803007277	0.8991225	556.238095238	13.06064
SRR040982	6.60226355059	0.9555215	580.396226415	15.49593
SRR040983	6.91352931988	0.978604	696.428571429	16.4597
SRR040984	8.14212716782	0.991481	918.542056075	22.56275
SRR040986	7.80780647085	0.991957	741.168674699	17.76133
SRR040987	5.81534115207	0.9727855	227.5	7.3312
SRR040988	6.57384492547	0.9803315	382.8	9.9141
SRR040989	8.29910586754	0.994378	870.90625	17.78379
SRR040990	7.9630822498	0.9886515	812.471153846	21.18945
SRR040991	6.51870849828	0.9781165	399.125	11.14914
SRR040992	8.50255184957	0.9958275	937.565217391	18.59749
SRR040993	7.19809452326	0.976902	619.0	15.80655
SRR040994	8.46851833652	0.995105	1135.23913043	28.33524
SRR040995	6.96828776899	0.9833915	495.153846154	13.2553
SRR040996	7.71036559596	0.9915045	633.345679012	16.38531
SRR040997	8.00489213625	0.984668	942.431034483	23.27989
SRR040998	8.00388409769	0.99312	793.83908046	17.56174
SRR040999	7.8108686527	0.9897975	785.41	19.26443
SRR046948	6.06384500897	0.9640005	272.447368421	9.43216
